source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Endothelial,CAFs,CXCL12,SDC4,0.34570688,0.0,0.0670491,0.0660406166071131,0.1737179989125698,0.012117083,0.7316175,1.0,0.7750990568711098
Endothelial,Myeloid,CXCL12,SDC4,0.34567496,0.0,0.067012414,0.06597979069109272,0.17479419832671403,0.012110453,0.73156375,1.0,0.77603472319551
PVL,T-cells,CCL19,CXCR3,0.42493248,0.0,0.18056722,0.7511958433556564,1.982231983873156,0.281836,0.8173034,0.025254298880802974,0.776970924253803
CAFs,PVL,CXCL12,CD4,0.8544789,0.0,0.18084945,0.7857416931288317,1.262353917238672,0.057815056,0.81741995,0.09597540784822821,0.7786111419111093
Myeloid,Cancer Epithelial,TGFB1,CXCR4,0.35857117,1.0,0.06678917,0.013805042046647925,-0.9966860501192618,0.003909962,0.7312359,1.0,0.7788458029246296
Endothelial,PVL,CXCL12,AVPR1A,0.4448749,0.0,0.18104422,0.7234641086491403,0.7836386796433735,0.18084036,0.81750035,0.08794082633090437,0.780253884897913
Normal Epithelial,Cancer Epithelial,HMGB1,CXCR4,0.964324,1.0,0.20006335,-0.164938951517681,-1.2863888990738064,0.0020710395,0.82483417,1.0,0.7810243073888319
Endothelial,Endothelial,CXCL12,ITGA5,0.57598174,0.0,0.3317535,0.7246575851381919,0.8915695888307745,0.10250505,0.8584321,0.07076573371887207,0.7864153012399238
CAFs,Plasmablasts,CXCL12,ITGA4,0.85492826,0.0,0.18228346,0.7679516873005123,1.233877251212797,0.05091593,0.8180086,0.09597540784822821,0.786611477518758
CAFs,Normal Epithelial,CXCL12,CXCR4,0.8550253,0.0,0.18259312,0.5502703130364375,0.034814127859867705,0.0099532055,0.8181349,1.0,0.7885018268950168
T-cells,Plasmablasts,TGFB1,CXCR4,0.42908162,1.0,0.1833268,0.0070916968886360066,-0.5234079742990765,0.010732289,0.81843305,1.0,0.7937158430775053
T-cells,PVL,CXCL13,CCR10,0.29484034,0.0,0.06699088,0.5658745844167166,1.329783386281958,0.19802049,0.7315322,0.09597540784822821,0.795855396781991
Endothelial,Normal Epithelial,CXCL12,CXCR4,0.34459582,1.0,0.065771915,-0.08497022467143603,-0.9236537623685271,0.0035852469,0.7297251,1.0,0.7960932881967868
Endothelial,Plasmablasts,CXCL12,ITGA4,0.34449878,0.0,0.06566037,0.1327111495926389,0.27540936098440205,0.01834044,0.7295577,0.8728242978923175,0.7975220758496759
Normal Epithelial,Cancer Epithelial,CXCL14,CXCR4,0.352551,1.0,0.06546465,-0.030642414598595513,-0.7044963089156394,0.004783763,0.72926307,1.0,0.8006237932125123
Endothelial,Myeloid,CXCL12,ITGB1,0.5706925,0.011,0.32567337,0.0467554707183547,-0.01806578116363633,0.016469184,0.85730445,1.0,0.8021353301711909
B-cells,Normal Epithelial,HMGB1,CXCR4,0.8643204,1.0,0.18472049,-0.26730807648717714,-1.2176602275187625,0.0019122113,0.81899506,1.0,0.8027757375323543
T-cells,Normal Epithelial,CCL5,ACKR1,1.0396289,0.0,0.19531679,0.7789799195987358,1.144308485787056,0.028051812,0.82309276,0.350460281117095,0.8047208323289885
